Name,Age,Marks,Gender,City
Ali,15.0,78.0,M,Karachi
Sara,16.0,85.0,F,Lahore
Ahmed,15.0,92.0,M,Islamabad
Fatima,16.0,88.0,F,Karachi
Bilal,15.0,81.07692307692308,M,Lahore
Aisha,16.0,79.0,F,Islamabad
Hassan,16.0,95.0,M,Karachi
Noor,15.0,65.0,F,Lahore
Hamza,17.0,70.0,M,Karachi
Hina,16.0,81.07692307692308,F,Islamabad
Omar,16.0,82.0,M,Lahore
Zoya,15.0,90.0,F,Karachi
Danish,16.0,75.0,M,Islamabad
Sana,16.0,68.0,F,Lahore
Kamran,17.0,81.07692307692308,M,Karachi
Mahnoor,16.0,87.0,F,Islamabad
